Date,FIPS,MMWR_week,Recip_County,Recip_State,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_5to17,Series_Complete_5to17Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Booster_Doses,Booster_Doses_Vax_Pct,Booster_Doses_5Plus,Booster_Doses_5Plus_Vax_Pct,Booster_Doses_12Plus,Booster_Doses_12Plus_Vax_Pct,Booster_Doses_18Plus,Booster_Doses_18Plus_Vax_Pct,Booster_Doses_50Plus,Booster_Doses_50Plus_Vax_Pct,Booster_Doses_65Plus,Booster_Doses_65Plus_Vax_Pct,Second_Booster_50Plus,Second_Booster_50Plus_Vax_Pct,Second_Booster_65Plus,Second_Booster_65Plus_Vax_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_5PlusPop_Pct_SVI,Series_Complete_5to17Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_5PlusPop_Pct_UR_Equity,Series_Complete_5to17Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,Booster_Doses_Vax_Pct_SVI,Booster_Doses_12PlusVax_Pct_SVI,Booster_Doses_18PlusVax_Pct_SVI,Booster_Doses_65PlusVax_Pct_SVI,Booster_Doses_Vax_Pct_UR_Equity,Booster_Doses_12PlusVax_Pct_UR_Equity,Booster_Doses_18PlusVax_Pct_UR_Equity,Booster_Doses_65PlusVax_Pct_UR_Equity,Census2019,Census2019_5PlusPop,Census2019_5to17Pop,Census2019_12PlusPop,Census2019_18PlusPop,Census2019_65PlusPop,Bivalent_Booster_5Plus,Bivalent_Booster_5Plus_Pop_Pct,Bivalent_Booster_12Plus,Bivalent_Booster_12Plus_Pop_Pct,Bivalent_Booster_18Plus,Bivalent_Booster_18Plus_Pop_Pct,Bivalent_Booster_65Plus,Bivalent_Booster_65Plus_Pop_Pct
01/18/2023,UNK,3,Unknown County,AZ,98.1,120928,,120426,,116410,,111720,,28797,,89957,,89841,,5204,,87197,,84637,,20318,,43844,48.7,43842,48.8,43510,49.9,43049,50.9,33032,77.4,24502,95,3589,10.9,2412,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14083,,13904,,13692,,6011,
01/18/2023,13083,3,Dade County,GA,88.9,9532,59.1,9514,62.1,9337,66.1,8926,68.5,3317,95,7825,48.6,7814,51,464,20.2,7684,54.4,7350,56.4,2837,87.6,3058,39.1,3057,39.1,3037,39.5,2962,40.3,2355,47.8,1490,52.5,825,35,573,38.5,C,9,10,9,10,10,12,Metro,1,2,1,2,2,4,10,10,11,10,2,2,3,2,16116,15323,2295,14117,13028,3240,1181,7.7,1173,8.3,1158,8.9,713,22
01/18/2023,45075,3,Orangeburg County,SC,93,57339,66.5,57176,70.2,55498,75.1,51978,77.1,16952,95,49954,58,49857,61.2,4267,30.5,48536,65.7,45590,67.6,15246,86.8,22698,45.4,22682,45.5,22514,46.4,21947,48.1,17377,60.4,10594,69.5,6824,39.3,4849,45.8,D,14,14,14,15,15,16,Non-metro,6,6,6,7,7,8,15,15,15,15,7,7,7,7,86175,81444,13996,73912,67448,17560,6539,8,6482,8.8,6368,9.4,3942,22.4
01/18/2023,47025,3,Claiborne County,TN,97.8,17723,55.5,17712,58.4,17517,62.4,16947,65.5,5687,87.8,15283,47.8,15281,50.4,553,12.4,15159,54,14728,57,5167,79.8,6653,43.5,6653,43.5,6641,43.8,6560,44.5,5085,54.3,3171,61.4,1996,39.3,1403,44.2,C,9,10,9,10,10,11,Non-metro,5,6,5,6,6,7,11,11,11,10,7,7,7,6,31959,30307,4451,28053,25856,6477,2183,7.2,2176,7.8,2150,8.3,1311,20.2
01/18/2023,17047,3,Edwards County,IL,98,2876,45,2873,47.7,2837,52.1,2756,55.6,1154,82.5,2668,41.7,2668,44.3,106,9.9,2638,48.5,2562,51.7,1099,78.6,1350,50.6,1350,50.6,1349,51.1,1333,52,1113,61.4,781,71.1,504,45.3,392,50.2,A,1,1,1,1,2,3,Non-metro,5,5,5,5,6,7,4,4,4,3,8,8,8,7,6395,6024,1070,5444,4954,1399,507,8.4,506,9.3,506,10.2,368,26.3
01/18/2023,35029,3,Luna County,NM,97,23206,95,23047,95,21791,95,19861,95,6018,95,18632,78.6,18603,84.8,2423,55.3,17715,90.9,16180,92.2,5063,95,9247,49.6,9247,49.7,9105,51.4,8677,53.6,5899,63.7,3423,67.6,2771,47,1860,54.3,D,15,16,16,16,16,16,Non-metro,7,8,8,8,8,8,15,16,16,15,7,8,8,7,23709,21930,4380,19499,17550,5032,3422,15.6,3383,17.3,3265,18.6,1851,36.8
01/18/2023,38089,3,Stark County,ND,92.7,14527,46.1,14386,50,14001,55,13339,58.1,3936,90,12104,38.4,12061,41.9,908,15.6,11726,46.1,11153,48.6,3307,75.6,5796,47.9,5796,48.1,5711,48.7,5536,49.6,3975,63.1,2455,74.2,1878,47.2,1326,54,A,1,1,1,1,1,3,Non-metro,5,5,5,5,5,7,3,3,3,3,7,7,7,7,31489,28780,5839,25446,22941,4372,2645,9.2,2600,10.2,2539,11.1,1445,33.1
01/18/2023,48459,3,Upshur County,TX,98.9,16533,39.6,16513,42,16239,45.8,15410,48.4,5389,68.9,14457,34.6,14457,36.7,882,11.7,14245,40.2,13575,42.7,4965,63.5,5630,38.9,5630,38.9,5601,39.3,5530,40.7,4704,52,3074,61.9,1887,40.1,1354,44,C,9,9,9,9,9,10,Metro,1,1,1,1,1,2,10,10,11,10,2,2,3,2,41753,39339,7518,35431,31821,7825,1805,4.6,1790,5.1,1768,5.6,1112,14.2
01/18/2023,72059,3,Guayanilla Municipio,PR,97.8,15746,89.3,15712,92.8,14645,93.2,13364,94,3669,95,14761,83.8,14753,87.2,2207,81.5,13780,87.7,12546,88.2,3426,89.5,10101,68.4,10101,68.5,10049,72.9,9139,72.8,5098,77.1,2642,77.1,1707,33.5,1066,40.3,C,12,12,12,12,12,12,Metro,4,4,4,4,4,4,12,12,12,11,4,4,4,3,17623,16926,2709,15717,14217,3827,1101,6.5,1095,7,1072,7.5,558,14.6
01/18/2023,19017,3,Bremer County,IA,97.3,16372,65.3,16287,69,15616,72.8,14548,74.8,4960,95,15477,61.8,15414,65.3,1573,37.8,14803,69,13841,71.2,4767,95,9541,61.6,9541,61.9,9393,63.5,9054,65.4,6543,79.3,4172,87.5,4387,67,3170,76,A,2,3,2,3,3,4,Metro,2,3,2,3,3,4,4,4,4,4,4,4,4,4,25062,23601,4162,21447,19439,4977,5136,21.8,5051,23.6,4912,25.3,3059,61.5
